Network ID	Territory	Fraction
link_42	WECC_SCE	1
link_43	WECC_SCE	1
link_45	WECC_SCE	0.8
link_45	WEC_LADW	0.2
link_46	WECC_SCE	1
link_47	WECC_SCE	1
link_48	WECC_SCE	0.2
link_48	WEC_SDGE	0.8
link_49	WECC_SCE	0.3
link_49	WEC_SDGE	0.7
link_50	WECC_SCE	1
link_51	WEC_SDGE	1
link_52	WEC_SDGE	1
link_53	WEC_SDGE	1
link_54	WEC_SDGE	1
link_55	WEC_SDGE	1
link_56	WEC_SDGE	1
link_57	WEC_SDGE	1
link_60	WEC_LADW	1
link_61	WEC_LADW	1
link_62	WEC_LADW	1
link_63	WECC_SCE	0.1
link_63	WEC_LADW	0.9
link_64	WEC_LADW	1
link_65	WEC_LADW	1
link_66	WEC_LADW	1
link_68	WEC_LADW	1
link_69	WEC_LADW	1
link_70	WEC_LADW	1
link_71	WECC_SCE	1
link_72	WECC_SCE	1
link_73	WECC_SCE	1
link_74	WECC_SCE	1
link_75	WECC_SCE	1
link_76	WECC_SCE	1
link_77	WECC_SCE	1
link_78	WECC_SCE	1
link_79	WECC_SCE	1
link_80	WECC_SCE	1
link_81	WECC_SCE	1
link_82	WECC_SCE	1
link_83	WECC_SCE	1
link_84	WECC_SCE	1
link_85	WECC_SCE	1
link_86	WECC_SCE	1
link_87	WECC_SCE	1
link_88	WECC_SCE	1
link_90	WECC_SCE	1
link_91	WECC_SCE	1
link_92	WECC_SCE	1
link_94	WECC_SCE	1
link_95	WECC_SCE	1
link_96	WECC_SCE	0.6
link_96	WEC_SDGE	0.4
link_97	WECC_SCE	1
link_98	WECC_SCE	0.1
link_98	WEC_SDGE	0.9
link_99	WECC_SCE	1
link_100	WECC_SCE	1
link_101	WECC_SCE	1
link_102	WEC_SDGE	1
link_103	WEC_SDGE	1
link_104	WEC_SDGE	1
link_105	WEC_SDGE	1
link_106	WEC_SDGE	1
link_107	WEC_SDGE	1
link_108	WEC_SDGE	1
link_109	WEC_SDGE	1
link_110	WEC_SDGE	1
link_111	WEC_SDGE	1
link_112	WEC_SDGE	1
link_113	WECC_SCE	0.8
link_113	WEC_SDGE	0.2
link_114	WEC_SDGE	1
link_115	WECC_SCE	0.1
link_115	WEC_SDGE	0.9
link_116	WEC_SDGE	1
link_117	WEC_SDGE	1
link_118	WEC_SDGE	1
link_119	WEC_SDGE	1
link_120	WEC_SDGE	1
link_121	WEC_SDGE	1
link_122	WEC_SDGE	1
link_123	WEC_SDGE	1
link_124	WEC_SDGE	1
link_125	WEC_SDGE	1
link_127	WEC_SDGE	1
link_128	WEC_SDGE	1
link_129	WEC_SDGE	1
link_130	WEC_LADW	1
link_131	WEC_LADW	1
link_132	WEC_LADW	1
link_133	WEC_LADW	1
link_134	WEC_LADW	1
link_135	WEC_LADW	1
link_136	WEC_LADW	1
link_137	WEC_LADW	1
link_138	WEC_LADW	1
link_140	WEC_LADW	1
link_141	WEC_LADW	1
link_142	WEC_LADW	1
link_143	WEC_LADW	1
link_144	WEC_LADW	1
link_145	WEC_LADW	1
link_146	WEC_LADW	1
link_147	WEC_LADW	1
link_148	WEC_LADW	1
link_149	WEC_LADW	1
link_150	WEC_LADW	1
link_151	WEC_LADW	1
link_152	WECC_SCE	0
link_152	WEC_LADW	1
link_153	WEC_LADW	1
link_154	WECC_SCE	0.7
link_154	WEC_LADW	0.3
link_155	WEC_LADW	1
link_156	WECC_SCE	1
link_157	WECC_SCE	1
link_158	WECC_SCE	1
link_159	WECC_SCE	1
link_160	WECC_SCE	1
link_161	WECC_SCE	1
link_162	WECC_SCE	1
link_163	WECC_SCE	1
link_164	WECC_SCE	1
link_165	WECC_SCE	1
link_166	WECC_SCE	1
link_167	WECC_SCE	1
link_168	WECC_SCE	1
link_169	WECC_SCE	1
link_170	WECC_SCE	0.1
link_170	WEC_SDGE	0.9
link_171	WEC_SDGE	1
link_172	WEC_SDGE	1
link_173	WEC_SDGE	1
link_174	WEC_SDGE	1
link_175	WECC_SCE	0.3
link_175	WEC_SDGE	0.7
link_176	WEC_SDGE	1
link_177	WEC_SDGE	1
link_178	WEC_SDGE	1
link_179	WEC_SDGE	1
link_180	WEC_SDGE	1
link_181	WEC_SDGE	1
link_182	WEC_SDGE	1
link_183	WEC_SDGE	1
link_184	WEC_SDGE	1
link_185	WEC_SDGE	1
link_186	WEC_SDGE	1
link_187	WEC_SDGE	1
link_188	WEC_LADW	1
link_189	WEC_LADW	1
link_191	WEC_LADW	1
link_192	WEC_LADW	1
link_193	WEC_LADW	1
link_194	WEC_LADW	1
link_195	WEC_LADW	1
link_196	WECC_SCE	1
link_197	WECC_SCE	0.5
link_197	WEC_SDGE	0.5
link_198	WECC_SCE	1
link_199	WECC_SCE	1
link_200	WECC_SCE	0.7
link_200	WEC_SDGE	0.3
link_201	WECC_SCE	1
link_202	WECC_SCE	1
link_203	WECC_SCE	1
link_204	WECC_SCE	1
link_205	WECC_SCE	0.8
link_205	WEC_LADW	0.2
link_206	WECC_SCE	1
link_207	WECC_SCE	1
link_208	WECC_SCE	1
link_210	WEC_SDGE	1
link_211	WEC_SDGE	1
link_212	WEC_SDGE	1
link_214	WEC_SDGE	1
link_215	WECC_SCE	0.6
link_215	WEC_LADW	0.4
link_216	WEC_LADW	1
link_217	WEC_LADW	1
link_218	WEC_LADW	1
link_219	WEC_LADW	1
link_220	WEC_LADW	1
link_221	WEC_LADW	1
link_222	WEC_LADW	1
link_223	WEC_LADW	1
link_224	WEC_LADW	1
link_225	WEC_LADW	1
link_226	WEC_LADW	1
link_227	WEC_LADW	1
link_228	WEC_LADW	1
link_229	WEC_LADW	1
link_230	WEC_LADW	1
link_231	WEC_LADW	1
link_232	WECC_SCE	1
link_233	WECC_SCE	1
link_234	WECC_SCE	1
link_235	WECC_SCE	1
link_236	WECC_SCE	1
link_237	WECC_SCE	1
link_238	WECC_SCE	1
link_239	WECC_SCE	1
link_241	WECC_SCE	1
link_242	WECC_SCE	1
link_244	WEC_SDGE	1
link_245	WEC_SDGE	1
link_246	WEC_SDGE	1
link_247	WEC_SDGE	1
link_248	WEC_SDGE	1
link_250	WEC_SDGE	1
link_251	WEC_SDGE	1
link_252	WEC_SDGE	1
link_253	WEC_SDGE	1
link_254	WEC_SDGE	1
link_255	WEC_SDGE	1
link_256	WEC_LADW	1
link_257	WEC_LADW	1
link_258	WEC_LADW	1
link_259	WEC_LADW	1
link_260	WEC_SDGE	1
link_261	WEC_SDGE	1
link_262	WEC_SDGE	1
link_263	WEC_SDGE	1
