Material	Technology	Year	Nameplate Capacity [kg/yr]	Production [unit/kg]	Production [unit/km/kg]	Storage [kg]
PM10 [tonne]	LH2 Train Link	2020	0	0	4.69e-12	0
PM2.5 [tonne]	LH2 Train Link	2020	0	0	4.55e-12	0
SOx [tonne]	LH2 Train Link	2020	0	0	1.02e-13	0
CH4 [tonne]	LH2 Train Link	2020	0	0	1.28e-12	0
N2O [tonne]	LH2 Train Link	2020	0	0	4e-13	0
BC [tonne]	LH2 Train Link	2020	0	0	3.82e-13	0
POC [tonne]	LH2 Train Link	2020	0	0	4.03e-12	0
GHG-100 [tonne]	LH2 Train Link	2020	0	0	1.481762e-08	0
CO2 Total [tonne]	LH2 Train Link	2025	0	0	1.467301e-08	0
CO2 [tonne]	LH2 Train Link	2025	0	0	1.462837e-08	0
VOC [tonne]	LH2 Train Link	2025	0	0	5.36e-12	0
CO [tonne]	LH2 Train Link	2025	0	0	1.74e-11	0
NOx [tonne]	LH2 Train Link	2025	0	0	1.2459e-10	0
PM10 [tonne]	LH2 Train Link	2025	0	0	3.57e-12	0
PM2.5 [tonne]	LH2 Train Link	2025	0	0	3.46e-12	0
SOx [tonne]	LH2 Train Link	2025	0	0	1.02e-13	0
CH4 [tonne]	LH2 Train Link	2025	0	0	1.28e-12	0
N2O [tonne]	LH2 Train Link	2025	0	0	4e-13	0
BC [tonne]	LH2 Train Link	2025	0	0	2.91e-13	0
POC [tonne]	LH2 Train Link	2025	0	0	3.06e-12	0
GHG-100 [tonne]	LH2 Train Link	2025	0	0	1.481747e-08	0
CO2 Total [tonne]	LH2 Train Link	2030	0	0	1.467287e-08	0
CO2 [tonne]	LH2 Train Link	2030	0	0	1.463977e-08	0
VOC [tonne]	LH2 Train Link	2030	0	0	4e-12	0
CO [tonne]	LH2 Train Link	2030	0	0	1.29e-11	0
NOx [tonne]	LH2 Train Link	2030	0	0	9.02e-11	0
PM10 [tonne]	LH2 Train Link	2030	0	0	2.44e-12	0
PM2.5 [tonne]	LH2 Train Link	2030	0	0	2.37e-12	0
SOx [tonne]	LH2 Train Link	2030	0	0	1.02e-13	0
CH4 [tonne]	LH2 Train Link	2030	0	0	1.28e-12	0
N2O [tonne]	LH2 Train Link	2030	0	0	4e-13	0
BC [tonne]	LH2 Train Link	2030	0	0	1.99e-13	0
POC [tonne]	LH2 Train Link	2030	0	0	2.1e-12	0
GHG-100 [tonne]	LH2 Train Link	2030	0	0	1.481733e-08	0
CO2 Total [tonne]	LH2 Train Link	2035	0	0	1.467279e-08	0
CO2 [tonne]	LH2 Train Link	2035	0	0	1.464619e-08	0
VOC [tonne]	LH2 Train Link	2035	0	0	3.22e-12	0
CO [tonne]	LH2 Train Link	2035	0	0	1.03e-11	0
NOx [tonne]	LH2 Train Link	2035	0	0	6.76e-11	0
PM10 [tonne]	LH2 Train Link	2035	0	0	1.52e-12	0
PM2.5 [tonne]	LH2 Train Link	2035	0	0	1.47e-12	0
SOx [tonne]	LH2 Train Link	2035	0	0	1.02e-13	0
CH4 [tonne]	LH2 Train Link	2035	0	0	1.28e-12	0
N2O [tonne]	LH2 Train Link	2035	0	0	4e-13	0
BC [tonne]	LH2 Train Link	2035	0	0	1.23e-13	0
POC [tonne]	LH2 Train Link	2035	0	0	1.3e-12	0
GHG-100 [tonne]	LH2 Train Link	2035	0	0	1.481725e-08	0
CO2 Total [tonne]	LH2 Train Link	2040	0	0	1.467275e-08	0
CO2 [tonne]	LH2 Train Link	2040	0	0	1.464911e-08	0
VOC [tonne]	LH2 Train Link	2040	0	0	2.83e-12	0
CO [tonne]	LH2 Train Link	2040	0	0	9.24e-12	0
NOx [tonne]	LH2 Train Link	2040	0	0	5.32e-11	0
PM10 [tonne]	LH2 Train Link	2040	0	0	1.13e-12	0
PM2.5 [tonne]	LH2 Train Link	2040	0	0	1.09e-12	0
SOx [tonne]	LH2 Train Link	2040	0	0	1.02e-13	0
CH4 [tonne]	LH2 Train Link	2040	0	0	1.28e-12	0
N2O [tonne]	LH2 Train Link	2040	0	0	4e-13	0
BC [tonne]	LH2 Train Link	2040	0	0	9.18e-14	0
POC [tonne]	LH2 Train Link	2040	0	0	9.68e-13	0
GHG-100 [tonne]	LH2 Train Link	2040	0	0	1.481722e-08	0
CO2 Total [tonne]	Existing or Planned SMR (no CCS)	2015	3737.74	0.0025129147	0	0
CO2 [tonne]	Existing or Planned SMR (no CCS)	2015	3737.74	0.0025094388	0	0
VOC [tonne]	Existing or Planned SMR (no CCS)	2015	3737.74	2.77e-07	0	0
CO [tonne]	Existing or Planned SMR (no CCS)	2015	3737.74	1.63494513e-06	0	0
NOx [tonne]	Existing or Planned SMR (no CCS)	2015	3737.74	2.65558016e-06	0	0
PM10 [tonne]	Existing or Planned SMR (no CCS)	2015	3737.74	1.40825423e-06	0	0
PM2.5 [tonne]	Existing or Planned SMR (no CCS)	2015	3737.74	1.40825423e-06	0	0
SOx [tonne]	Existing or Planned SMR (no CCS)	2015	3737.74	2.52643e-08	0	0
CH4 [tonne]	Existing or Planned SMR (no CCS)	2015	3737.74	2.812572e-08	0	0
N2O [tonne]	Existing or Planned SMR (no CCS)	2015	3737.74	1.990028e-08	0	0
BC [tonne]	Existing or Planned SMR (no CCS)	2015	3737.74	1.535386e-08	0	0
POC [tonne]	Existing or Planned SMR (no CCS)	2015	3737.74	3.982698e-08	0	0
GHG-100 [tonne]	Existing or Planned SMR (no CCS)	2015	3737.74	0.002519032	0	0
