Material	Technology	Year	Nameplate Capacity [kg/yr]	Consumption [unit/kg]	Consumption [unit/km/kg]	Storage [kg]
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	144209.9361	20.56771511	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	158630.9297	20.26648635	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	174494.0227	19.96966929	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	191943.425	19.67719933	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	211137.7675	19.38901281	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	232251.5442	19.10504697	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	255476.6986	18.82524002	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	281024.3685	18.54953104	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	309126.8053	18.27786001	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	340039.4859	18.0101678	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	374043.4344	17.74639613	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	411447.7779	17.48648758	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	452592.5557	17.23038558	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	497851.8112	16.97803437	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	547636.9924	16.72937903	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	602400.6916	16.48436542	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	662640.7608	16.2429402	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	728904.8369	16.00505083	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	801795.3205	15.77064552	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	881974.8526	15.53967324	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	970172.3378	15.31208372	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	1115698.189	14.98436244	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	1227268.007	14.76490583	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	1349994.808	14.54866333	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	1484994.289	14.33558784	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	1633493.718	14.125633	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	1796843.09	13.91875309	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	1976527.399	13.71490309	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	2174180.138	13.51403862	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	2391598.152	13.31611594	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	2630757.967	13.12109199	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	2893833.764	12.9289243	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	3183217.141	12.73957104	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	3501538.855	12.55299099	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	3851692.74	12.36914355	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	4236862.014	12.18798867	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	4660548.216	12.00948694	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	5126603.037	11.83359949	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	5639263.341	11.66028804	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	6203189.675	11.48951486	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	6823508.643	11.32124278	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	7505859.507	11.15543515	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	8256445.457	10.9920559	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	9082090.003	10.83106945	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	9990299.004	10.67244076	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	10989328.9	10.51613531	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	12088261.79	10.36211905	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	13297087.97	10.21035847	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	14626796.77	10.06082054	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	16089476.45	9.913472693	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	17698424.09	9.76828286	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	19468266.5	9.625219435	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	21415093.15	9.484251276	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	23556602.47	9.345347695	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	25912262.71	9.208478455	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	28503488.99	9.073613763	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	31353837.88	8.940724259	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	34489221.67	8.809781016	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	37938143.84	8.68075553	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	41731958.22	8.553619714	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	45905154.05	8.428345892	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	50495669.45	8.304906793	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	55545236.4	8.183275548	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	61099760.04	8.063425679	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	67209736.04	61.68083644	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	73930709.64	61.540123	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	81323780.61	61.39973056	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	89456158.67	61.2596584	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	98401774.54	61.1199058	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	113162040.7	60.91555023	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	130136346.8	60.71187794	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	156163616.2	60.44720762	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	187396339.4	60.18369112	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	224875607.3	59.92132341	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	269850728.8	59.66009948	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	323820874.5	59.40001434	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	388585049.4	59.14106303	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	466302059.3	58.8832406	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	559562471.2	58.62654213	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/out storage	2005	671474965.4	58.37096273	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	10000	31.9017517	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	11000	31.43453279	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	12100	30.97415672	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	13310	30.52052328	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	14641	30.0735337	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	16105.1	29.63309068	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	17715.61	29.19909835	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	19487.171	28.77146222	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	21435.8881	28.35008921	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	23579.47691	27.93488757	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	25937.4246	27.52576693	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	28531.16706	27.12263822	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	31384.28377	26.72541368	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	34522.71214	26.33400684	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	37974.98336	25.94833248	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	41772.48169	25.56830665	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	45949.72986	25.19384661	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	50544.70285	24.82487085	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	55599.17313	24.46129903	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	61159.09045	24.10305201	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	67274.99949	23.7500518	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	74002.49944	23.40222155	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	81402.74939	23.05948553	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	89543.02433	22.72176913	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	98497.32676	22.38899882	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	108347.0594	22.06110217	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	119181.7654	21.73800778	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	131099.9419	21.41964532	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	144209.9361	21.10594548	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	158630.9297	20.79683996	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	174494.0227	20.49226147	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	191943.425	20.19214371	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	211137.7675	19.89642133	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	232251.5442	19.60502997	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	255476.6986	19.31790617	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	281024.3685	19.03498744	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	309126.8053	18.75621219	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	340039.4859	18.48151972	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	374043.4344	18.21085024	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	411447.7779	17.94414482	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	452592.5557	17.6813454	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	497851.8112	17.42239477	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	547636.9924	17.16723657	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	602400.6916	16.91581525	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	662640.7608	16.66807607	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	728904.8369	16.42396511	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	801795.3205	16.18342923	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	881974.8526	15.94641606	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	970172.3378	15.71287403	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	1115698.189	15.37658115	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	1227268.007	15.15138451	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	1349994.808	14.92973112	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	1484994.289	14.71108424	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	1633493.718	14.4956394	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	1796843.09	14.2833497	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	1976527.399	14.07416893	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	2174180.138	13.86805157	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	2391598.152	13.66495274	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	2630757.967	13.46507649	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	2893833.764	13.2678845	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	3183217.141	13.07358022	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	3501538.855	12.88212137	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	3851692.74	12.69371535	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	4236862.014	12.50782463	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	4660548.216	12.32465601	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	5126603.037	12.14441932	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	5639263.341	11.96657754	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	6203189.675	11.79158938	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	6823508.643	11.61891936	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	7505859.507	11.44902754	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	8256445.457	11.28137867	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	9082090.003	11.11643519	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	9990299.004	10.95391146	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	10989328.9	10.79352223	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	12088261.79	10.6357327	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	13297087.97	10.48025833	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	14626796.77	10.32706526	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	16089476.45	10.17637057	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	17698424.09	10.02764079	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	19468266.5	9.881093577	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	21415093.15	9.736947831	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	23556602.47	9.594921472	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	25912262.71	9.454983664	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	28503488.99	9.317103935	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	31353837.88	9.181252189	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	34489221.67	9.047649453	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	37938143.84	8.915765364	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	41731958.22	8.786072547	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	45905154.05	8.6585429	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	50495669.45	8.532897706	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	55545236.4	8.40910967	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	61099760.04	8.287151742	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	67209736.04	8.1672482	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	73930709.64	62.70656652	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	81323780.61	62.56508516	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	89456158.67	62.42393318	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	98401774.54	62.28361192	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	113162040.7	62.07850765	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	130136346.8	61.87435961	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	156163616.2	61.61036905	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	187396339.4	61.34832842	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	224875607.3	61.08873877	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	269850728.8	60.83210216	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	323820874.5	60.57841971	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	388585049.4	60.32819577	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	466302059.3	60.08168521	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	559562471.2	59.83964668	0	0
Electricity (Industrial) [kWh]	LH2 Pipeline Truck Terminal w/storage	2005	671474965.4	59.60259	0	0
Electricity (Industrial) [kWh]	LH2 Station (cryo dispensing)	2005	0	0.33	0	0
Electricity (Industrial) [kWh]	LH2 Station (gas dispensing)	2005	0	0.33	0	0
Diesel [gal]	LH2 Train Link	2005	0	0	1.38e-09	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1e+06	15.62293864	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1020000	15.57512477	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1040400	15.52745733	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1061208	15.47993587	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1082432.16	15.43255994	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1104080.803	15.38532911	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1126162.419	15.33824293	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1148685.668	15.29130095	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1171659.381	15.24450275	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1195092.569	15.19784787	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1218994.42	15.15133589	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1243374.308	15.10496637	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1268241.795	15.05873887	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1293606.63	15.01265296	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1319478.763	14.96670821	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1345868.338	14.92090419	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1372785.705	14.87524047	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1400241.419	14.82971663	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1428246.248	14.78433223	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1456811.173	14.73908685	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1485947.396	14.69397363	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1515666.344	14.64900508	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1545979.671	14.60417429	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1576899.264	14.55948083	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1608437.249	14.5149243	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1640605.994	14.47050428	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1673418.114	14.42622035	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1706886.477	14.38207209	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1741024.206	14.3380591	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1775844.69	14.29418096	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1811361.584	14.25043726	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1847588.816	14.2068276	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1884540.592	14.16335156	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1922231.404	14.12000874	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1960676.032	14.07679874	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	1999889.553	14.03372115	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	2039887.344	13.99077557	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	2141881.711	13.88552603	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	2248975.796	13.78106945	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	2361424.586	13.67739991	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	2479495.816	13.57451153	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	2603470.606	13.47239851	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	2733644.137	13.37105505	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	2870326.344	13.27047542	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	3013842.661	13.17064794	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	3164534.794	13.07157919	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	3322761.533	12.97325739	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	3488899.61	12.87567698	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	3663344.591	12.77883247	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	3846511.82	12.6827184	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	4038837.411	12.58732935	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	4442721.152	12.40305491	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	4886993.267	12.22149356	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	5375692.594	12.0426002	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	5913261.854	11.86633091	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	6504588.039	11.69266002	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	7155046.843	11.52154447	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	7870551.527	11.35294272	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	8657606.68	11.18683022	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	9523367.348	11.02316109	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	10475704.08	10.86190642	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	11523274.49	10.70303826	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	12675601.94	10.54651265	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	13943162.13	10.39230277	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	15337478.35	10.24037706	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	16871226.18	10.09070465	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	18558348.8	9.943255342	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	20414183.68	9.797999669	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	22455602.05	9.654903707	0	0
Electricity (Industrial) [kWh]	LH2 Train Terminal	2005	24701162.25	9.513950029	0	0
