Network ID	Year	Period	Fueling-Station Demand [kg]	Ammonia [kg]	Biofuels [kg]	Methanol [kg]	FT Fuels [kg]	Metals [kg]	Natural Gas Blending [kg]	Seasonal Grid Storage [kg]	Other [kg]
TAZ_5698	2027	1 Year	463705.1923	0	0	0	0	0	0	0	0
TAZ_5698	2028	1 Year	621048.2522	0	0	0	0	0	0	0	0
TAZ_5698	2029	1 Year	778391.3121	0	0	0	0	0	0	0	0
TAZ_5698	2030	1 Year	935734.372	0	0	0	0	0	0	0	0
TAZ_5698	2031	1 Year	1365745.297	0	0	0	0	0	0	0	0
TAZ_5698	2032	1 Year	1795756.221	0	0	0	0	0	0	0	0
TAZ_5698	2033	1 Year	2225767.146	0	0	0	0	0	0	0	0
TAZ_5698	2034	1 Year	2655778.07	0	0	0	0	0	0	0	0
TAZ_5698	2035	1 Year	3085788.995	0	0	0	0	0	0	0	0
TAZ_5698	2036	1 Year	3493998.823	0	0	0	0	0	0	0	0
TAZ_5698	2037	1 Year	3902208.651	0	0	0	0	0	0	0	0
TAZ_5698	2038	1 Year	4310418.479	0	0	0	0	0	0	0	0
TAZ_5698	2039	1 Year	4718628.307	0	0	0	0	0	0	0	0
TAZ_5698	2040	1 Year	5126838.135	0	0	0	0	0	0	0	0
TAZ_5698	2041	1 Year	5758773.732	0	0	0	0	0	0	0	0
TAZ_5698	2042	1 Year	6390709.329	0	0	0	0	0	0	0	0
TAZ_5698	2043	1 Year	7022644.927	0	0	0	0	0	0	0	0
TAZ_5698	2044	1 Year	7654580.524	0	0	0	0	0	0	0	0
TAZ_5698	2045	1 Year	8286516.121	0	0	0	0	0	0	0	0
TAZ_5698	2046	1 Year	9129462.897	0	0	0	0	0	0	0	0
TAZ_5698	2047	1 Year	9972409.673	0	0	0	0	0	0	0	0
TAZ_5698	2048	1 Year	10815356.45	0	0	0	0	0	0	0	0
TAZ_5698	2049	1 Year	11658303.22	0	0	0	0	0	0	0	0
TAZ_5698	2050	1 Year	12501250	0	0	0	0	0	0	0	0
TAZ_5694	2025	1 Year	471077.0598	0	0	0	0	0	0	0	0
TAZ_5694	2026	1 Year	486361.6478	0	0	0	0	0	0	0	0
TAZ_5694	2027	1 Year	501646.2359	0	0	0	0	0	0	0	0
TAZ_5694	2028	1 Year	516930.8239	0	0	0	0	0	0	0	0
TAZ_5694	2029	1 Year	532215.412	0	0	0	0	0	0	0	0
TAZ_5694	2030	1 Year	547500	0	0	0	0	0	0	0	0
TAZ_5694	2031	1 Year	871946.9767	0	0	0	0	0	0	0	0
TAZ_5694	2032	1 Year	1196393.953	0	0	0	0	0	0	0	0
TAZ_5694	2033	1 Year	1520840.93	0	0	0	0	0	0	0	0
